Time, CPU, Memory
558, 24.7, 623.207
559, 24.9, 645.664
560, 24.9, 662.59
561, 26.1, 690.684
563, 24.6, 708.41
564, 26.3, 732.66
565, 25.7, 755.211
566, 24.9, 773.297
567, 24.8, 792.934
568, 24.9, 816.879
570, 24.8, 830.68
571, 24.8, 852.832
572, 24.7, 868.035
573, 24.7, 894.902
574, 24.9, 916.617
575, 24.8, 936.07
577, 24.8, 953.711
578, 24.9, 977.223
579, 24.8, 994.434
580, 26.2, 1017.3
581, 24.8, 1037.68
582, 24.6, 1054.04
584, 24.8, 1074.06
585, 26.3, 1101.61
586, 24.8, 1126.68
587, 24.7, 1140.38
588, 9.5, 1158.41
589, 6.2, 1167.86
591, 8.7, 1407.06
592, 6.2, 1361.86
593, 6.2, 1897
